Index,Company,Product,Inches,Price_euros,SSD_Memory(GB),HDD_Memory(GB),Ram(GB),ScreenResolution(pixels),CPU_Type,CPU_Frequency(GHz),GPU_Type
257,Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,15.6,469.0,0,1024.0,4,1366x768,AMD A9-Series,3,AMD Radeon
258,Lenovo,Yoga 920-13IKB,13.9,1849.0,512,0,8,1920x1080,Intel Core,1.8,Intel UHD
259,Acer,Aspire 5,17.3,702.0,256,0,4,1920x1080,Intel Core,2.7,Nvidia GeForce
260,Dell,Vostro 5370,13.3,949.0,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
261,HP,15-BW094nd (A6-9220/8GB/128GB/W10),15.6,445.9,128,0,8,1366x768,AMD A6-Series,2.5,AMD Radeon
262,HP,Envy 17-U275cl,17.3,1059.0,0,1024.0,16,1920x1080,Intel Core,1.8,Nvidia GeForce
263,MSI,GT73EVR 7RE,17.3,2499.0,512,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
264,Lenovo,Yoga 720-15IKB,15.6,1699.0,512,0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
265,Dell,Inspiron 5770,17.3,1142.0,128,1024.0,8,1920x1080,Intel Core,1.8,AMD Radeon
266,Lenovo,IdeaPad 320-15ISK,15.6,444.0,256,0,4,1920x1080,Intel Core,2,Intel HD
267,HP,ProBook 450,15.6,722.0,0,500,4,1920x1080,Intel Core,1.6,Intel HD
268,Dell,Vostro 3568,15.6,657.0,0,1024.0,4,1920x1080,Intel Core,2.5,Intel HD
269,Dell,Inspiron 3567,15.6,565.0,0,1024.0,8,1920x1080,Intel Core,2.5,AMD Radeon
270,Dell,Inspiron 5579,15.6,799.0,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
271,Asus,ZenBook Flip,13.3,1499.0,512,512,8,1920x1080,Intel Core,1.8,Intel UHD
272,Lenovo,IdeaPad 320-15IKBN,15.6,467.0,0,1024.0,4,1920x1080,Intel Core,2.5,Intel HD
273,HP,Probook 470,17.3,1018.0,0,1024.0,8,1920x1080,Intel Core,1.8,Nvidia GeForce
274,Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),15.6,880.0,256,0,8,1920x1080,Intel Core,1.8,Intel UHD
275,Apple,MacBook Pro,13.3,1958.9,512,0,8,2560x1600,Intel Core,2.9,Intel Iris
276,Asus,Rog Strix,17.3,1549.0,256,1024.0,16,1920x1080,AMD Ryzen,3,AMD Radeon
277,Dell,Inspiron 3576,15.6,735.07,256,0,8,1920x1080,Intel Core,1.8,AMD Radeon
278,Lenovo,ThinkPad X1,14.0,2499.0,512,0,16,2560x1440,Intel Core,2.6,Intel HD
279,Toshiba,Satellite Pro,15.6,812.0,0,500,8,1366x768,Intel Core,2.5,Nvidia GeForce
280,Dell,Inspiron 5567,15.6,713.07,0,1024.0,12,1366x768,Intel Core,2.7,Intel HD
281,Dell,Inspiron 5770,17.3,1099.0,128,1024.0,8,1920x1080,Intel Core,1.8,AMD Radeon
282,Acer,Aspire A515-51G,15.6,745.0,0,1024.0,8,1920x1080,Intel Core,1.8,Nvidia GeForce
283,Lenovo,IdeaPad 320-17ISK,17.3,489.0,0,1024.0,4,1600x900,Intel Core,2,Intel HD
284,Lenovo,IdeaPad 320-17IKBR,17.3,849.0,0,2048.0,8,1920x1080,Intel Core,1.8,Nvidia GeForce
285,Lenovo,IdeaPad 320-17IKB,17.3,859.0,128,1024.0,6,1600x900,Intel Core,2.7,Nvidia GeForce
286,Dell,Inspiron 3567,15.6,428.0,0,1024.0,4,1920x1080,Intel Core,2.0,AMD Radeon
287,Lenovo,Legion Y520-15IKBN,15.6,829.0,256,0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
288,Lenovo,Ideapad 320-15IKBN,15.6,579.0,256,0,6,1920x1080,Intel Core,2.5,Intel HD
289,Acer,Aspire A517-51G,15.6,951.0,256,0,8,1920x1080,Intel Core,1.8,Nvidia GeForce
290,Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),15.6,659.0,0,1024.0,12,1920x1080,Intel Core,2.7,Intel HD
291,Lenovo,Thinkpad T570,15.6,1097.0,256,0,8,1920x1080,Intel Core,2.7,Intel HD
292,Asus,VivoBook S15,15.6,977.0,256,0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
293,Lenovo,Legion Y520-15IKBN,15.6,1179.0,256,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
294,Lenovo,IdeaPad 320-15IKB,15.6,659.01,0,1024.0,8,1920x1080,Intel Core,2.7,Nvidia GeForce
295,Acer,Chromebook C910-C2ST,15.6,199.0,16,0,2,1366x768,Intel Celeron,1.5,Intel HD
296,Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,17.3,1187.0,0,1024.0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
297,HP,17-BS037cl (i3-6006U/8GB/1TB/W10),17.3,489.0,0,1024.0,8,1600x900,Intel Core,2,Intel HD
298,Dell,XPS 15,15.6,1829.0,256,0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
299,Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),15.6,739.0,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
300,Lenovo,Legion Y720-15IKB,15.6,1299.0,0,1024.0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
301,Acer,Aspire A715-71G,15.6,979.0,256,0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
302,Dell,Precision 7720,17.3,2884.86,256,0,16,1920x1080,Intel Core,2.9,Nvidia Quadro
303,Lenovo,IdeaPad 310-15ABR,15.6,499.0,0,1024.0,6,1920x1080,AMD A10-Series,2.4,AMD Radeon
304,Asus,ZenBook UX530UQ-PRO,15.6,1468.0,512,0,16,1920x1080,Intel Core,2.7,Nvidia GeForce
305,Asus,VivoBook S14,14.0,509.0,128,0,4,1366x768,Intel Core,2.4,Intel HD
306,Asus,Rog GL702VS-GC095T,17.3,2122.0,256,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
307,Lenovo,IdeaPad 320-17IKB,17.3,649.0,0,1024.0,6,1600x900,Intel Core,2.5,Nvidia GeForce
308,Lenovo,IdeaPad 320-15IKBN,15.6,549.0,0,2048.0,8,1366x768,Intel Core,2.5,Nvidia GeForce
309,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,15.6,1265.0,128,1024.0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
310,Lenovo,IdeaPad 320-15IAP,15.6,359.99,0,1024.0,4,1366x768,Intel Pentium,1.1,Intel HD
311,HP,EliteBook x360,13.3,1975.0,256,0,16,1920x1080,Intel Core,2.8,Intel HD
312,Toshiba,Satellite Pro,15.6,1043.0,256,0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
313,Lenovo,IdeaPad 320-15IKB,15.6,819.0,128,1024.0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
314,HP,250 G6,15.6,469.0,0,1024.0,4,1920x1080,Intel Core,2,Intel HD
315,Lenovo,IdeaPad 720S-13IKB,13.3,999.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
316,Dell,XPS 13,13.3,2499.0,1024.0,0,16,3840x2160,Intel Core,1.8,Intel UHD
317,MSI,GE63VR 7RF,15.6,2099.0,256,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
318,Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),15.6,469.0,256,0,8,1920x1080,AMD A8-Series,2.2,AMD Radeon
320,Dell,Inspiron 5570,15.6,844.0,128,1024.0,8,1920x1080,Intel Core,1.6,AMD Radeon
321,HP,Spectre x360,13.3,2449.0,1024.0,0,16,3840x2160,Intel Core,1.8,Intel UHD
323,HP,ProBook 640,14.0,980.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
325,HP,Elitebook 840,14.0,1292.0,256,0,8,1920x1080,Intel Core,2.7,Intel HD
326,Lenovo,IdeaPad 320-17IKB,17.3,589.0,0,1024.0,4,1600x900,Intel Core,2.5,Nvidia GeForce
327,Asus,ZenBook UX410UA-GV183T,14.0,1094.0,256,0,8,1920x1080,Intel Core,2.7,Intel HD
329,HP,ProBook 450,15.6,902.0,0,1024.0,8,1366x768,Intel Core,1.8,Intel UHD
330,Acer,Aspire 5,15.6,659.0,256,0,8,1366x768,AMD A12-Series,2.7,AMD Radeon
332,Acer,Aspire E5-575,15.6,549.0,0,1024.0,6,1366x768,Intel Core,2.5,Intel HD
333,Asus,VivoBook S15,15.6,1049.9,256,0,8,1920x1080,Intel Core,2.7,Nvidia GeForce
334,HP,Elitebook 820,12.5,1335.0,256,0,8,1920x1080,Intel Core,2.7,Intel HD
335,Dell,XPS 15,15.6,2639.0,1024.0,0,32,3840x2160,Intel Core,2.8,Nvidia GeForce
336,MSI,GL72M 7REX,17.3,1199.0,256,1024.0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
337,Toshiba,Satellite Pro,15.6,943.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
338,Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,14.0,1334.0,256,1024.0,8,1920x1080,Intel Core,2.7,Intel HD
339,Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),15.6,449.0,0,1024.0,4,1920x1080,Intel Core,2,Intel HD
340,Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,15.6,999.0,256,0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
341,HP,EliteBook 840,14.0,1268.0,256,0,8,1920x1080,Intel Core,2.6,Intel HD
342,Dell,Inspiron 7570,15.6,1049.0,128,1024.0,8,1920x1080,Intel Core,1.6,Nvidia GeForce
343,HP,Elitebook 850,15.6,1144.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
344,Asus,X541NA (N3350/4GB/1TB/Linux),15.6,274.99,0,1024.0,4,1366x768,Intel Celeron,1.1,Intel HD
345,Dell,Inspiron 7570,15.6,1142.75,256,0,8,1920x1080,Intel Core,1.6,Nvidia GeForce
346,Dell,Inspiron 3552,15.6,274.9,0,500,4,1366x768,Intel Celeron,1.6,Intel HD
347,Lenovo,IdeaPad 320-15ABR,15.6,899.0,0,2048.0,12,1920x1080,AMD A12-Series,3.6,AMD Radeon
348,HP,ProBook 450,15.6,716.0,0,1024.0,8,1920x1080,Intel Core,2.4,Nvidia GeForce
349,Lenovo,Yoga 920-13IKB,13.9,2099.0,512,0,16,3840x2160,Intel Core,1.8,Intel UHD
350,Dell,XPS 13,13.3,1579.0,256,0,8,1920x1080,Intel Core,1.8,Intel UHD
351,Lenovo,Legion Y520-15IKBN,15.6,1129.0,256,2048.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
353,Dell,Latitude 5590,15.6,1607.96,512,256,16,1920x1080,Intel Core,1.9,Intel UHD
355,Dell,Inspiron 5570,15.6,663.0,0,1024.0,8,1920x1080,Intel Core,1.6,AMD Radeon
356,Dell,XPS 15,15.6,2027.42,512,0,16,3840x2160,Intel Core,2.8,Nvidia GeForce
357,HP,Elitebook 850,15.6,1304.0,256,0,8,1920x1080,Intel Core,2.7,Intel HD
358,MSI,GP72MVR 7RFX,17.3,1409.0,128,1024.0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
359,HP,Zbook 15,15.6,1738.27,256,0,8,1920x1080,Intel Core,2.8,Nvidia Quadro
360,Toshiba,Tecra A50-C-21G,15.6,1403.0,512,0,16,1920x1080,Intel Core,2.5,Nvidia GeForce
361,Dell,Inspiron 5570,15.6,970.9,128,2048.0,8,1920x1080,Intel Core,1.8,AMD Radeon
362,Lenovo,IdeaPad 320-15IAP,15.6,321.99,0,1024.0,4,1366x768,Intel Celeron,1.1,Intel HD
363,Dell,Inspiron 7577,15.6,999.0,0,1024.0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
364,Dell,Inspiron 3567,15.6,557.37,0,2048.0,8,1366x768,Intel Core,2.5,Intel HD
365,Dell,Latitude 7480,14.0,1427.0,256,0,8,1920x1080,Intel Core,2.6,Intel HD
366,HP,250 G6,15.6,439.0,0,500,4,1366x768,Intel Core,2,Intel HD
367,Asus,Zenbook UX410UA-GV027T,14.0,945.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
368,Lenovo,IdeaPad 320-17IKB,17.3,719.0,128,1024.0,6,1600x900,Intel Core,2.5,Nvidia GeForce
369,HP,250 G6,15.6,639.0,0,1024.0,8,1920x1080,Intel Core,2.5,Intel HD
370,Lenovo,IdeaPad 320-15ISK,15.6,499.0,256,0,8,1366x768,Intel Core,2,Nvidia GeForce
371,HP,15-AY023na (N3710/8GB/2TB/W10),15.6,389.0,0,2048.0,8,1366x768,Intel Pentium,1.6,Intel HD
372,Dell,Inspiron 5770,17.3,1085.0,128,1024.0,8,1920x1080,Intel Core,1.6,AMD Radeon
373,Lenovo,Legion Y520-15IKBN,15.6,809.0,128,1024.0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
374,Dell,Inspiron 5567,15.6,899.0,256,0,8,1920x1080,Intel Core,2.7,AMD Radeon
375,HP,Elitebook 1040,14.0,1750.0,256,0,8,1920x1080,Intel Core,2.7,Intel HD
376,Asus,ZenBook Flip,15.6,1099.0,512,2048.0,12,1920x1080,Intel Core,2.7,Nvidia GeForce
377,Acer,Aspire 3,15.6,426.0,128,0,4,1366x768,AMD A9-Series,3,AMD Radeon
378,Asus,Rog Strix,17.3,2199.0,256,1024.0,16,1920x1080,AMD Ryzen,3,AMD Radeon
379,Lenovo,IdeaPad 110-17ACL,17.3,489.0,128,0,4,1600x900,AMD A8-Series,2.2,AMD Radeon
380,Dell,Inspiron 5379,13.3,869.01,256,0,8,1920x1080,Intel Core,1.8,Intel UHD
381,HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),15.6,488.99,256,0,4,1920x1080,AMD A9-Series,3,AMD Radeon
382,Lenovo,Yoga 11e,11.6,553.0,128,0,4,1366x768,Intel Celeron,1.1,Intel HD
383,Dell,Inspiron 3552,15.6,309.0,0,500,4,1366x768,Intel Celeron,1.60,Intel HD
385,Acer,Aspire 7,15.6,846.0,0,1024.0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
386,HP,Omen 17-w212nv,17.3,1191.0,128,1024.0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
387,Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,15.6,403.5,128,0,4,1920x1080,Intel Core,2,Intel HD
388,Asus,ROG Strix,15.6,1655.0,128,1024.0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
389,Lenovo,IdeaPad 720S-14IKB,14.0,1099.0,256,0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
390,Asus,Zenbook Flip,13.3,1748.9,512,0,16,1920x1080,Intel Core,2.7,Intel HD
391,Lenovo,Thinkpad X1,14.0,2282.0,512,0,8,2560x1440,Intel Core,2.7,Intel HD
392,Lenovo,Ideapad 510S-13IKB,13.3,549.0,128,0,4,1920x1080,Intel Core,2.4,Intel HD
393,Dell,Precision 3510,15.6,1369.0,0,500,8,1920x1080,Intel Core,2.6,AMD FirePro
394,Dell,Precision 5520,15.6,2135.0,256,0,8,1920x1080,Intel Core,2.7,Nvidia Quadro
395,Lenovo,ThinkPad X1,14.0,2509.0,512,0,16,2560x1440,Intel Core,2.7,Intel HD
396,Asus,Rog GL753VD-GC042T,17.3,1039.0,0,1024.0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
397,Asus,Rog GL753VE-GC070T,17.3,1591.0,256,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
399,Acer,Aspire 5,15.6,693.99,0,1024.0,12,1366x768,Intel Core,1.6,Nvidia GeForce
400,MSI,Leopard GP72M,17.3,1349.0,256,0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
401,Dell,Inspiron 5567,15.6,778.87,256,0,8,1920x1080,Intel Core,2.7,AMD Radeon
402,HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,15.6,499.0,256,0,4,1920x1080,AMD A9-Series,3,AMD Radeon
403,Lenovo,ThinkPad E580,15.6,1229.56,256,0,8,1920x1080,Intel Core,1.8,AMD Radeon
404,Lenovo,ThinkPad L470,14.0,938.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
405,Dell,Precision M5520,15.6,2712.0,256,0,8,3840x2160,Intel Core,2.8,Nvidia Quadro
406,Lenovo,Thinkpad X1,14.0,2625.0,1024.0,0,16,2560x1440,Intel Core,2.7,Intel HD
407,Lenovo,IdeaPad 320-15IAP,15.6,306.0,0,1024.0,4,1366x768,Intel Celeron,1.1,Intel HD
408,Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,17.3,1529.0,256,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
409,Lenovo,ThinkPad E580,15.6,1144.5,256,1024.0,8,1920x1080,Intel Core,1.6,AMD Radeon
410,Acer,Aspire 7,15.6,879.0,256,0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
411,MSI,GE73VR 7RF,17.3,2249.0,256,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
412,Asus,Zenbook 3,14.0,1873.0,512,0,8,1920x1080,Intel Core,2.7,Intel HD
413,Toshiba,Portege Z30-C-16P,13.3,1747.0,512,0,16,1920x1080,Intel Core,2.5,Intel HD
414,Dell,Latitude 7480,14.0,1680.0,512,0,8,1920x1080,Intel Core,2.8,Intel HD
415,Lenovo,IdeaPad 320-15ISK,15.6,409.0,0,500,4,1920x1080,Intel Core,2,Intel HD
417,Lenovo,ThinkPad P51,15.6,1925.0,512,0,8,1920x1080,Intel Core,2.8,Nvidia Quadro
418,Lenovo,Thinkpad T470p,14.0,1943.0,512,0,8,2560x1440,Intel Core,2.8,Nvidia GeForce
419,HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,15.6,469.0,0,1024.0,4,1920x1080,Intel Core,2,AMD Radeon
420,Acer,Aspire R7,13.3,789.01,256,0,8,1920x1080,Intel Core,2.5,Intel HD
421,Asus,ZenBook Flip,13.3,928.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
422,Dell,Inspiron 3567,15.6,598.9,256,0,4,1920x1080,Intel Core,2.5,AMD Radeon
423,Dell,Latitude 3380,13.3,689.0,128,0,4,1366x768,Intel Core,2,Intel HD
424,HP,EliteBook 1040,14.0,1500.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
425,Dell,Inspiron 3567,15.6,539.95,0,1024.0,8,1366x768,Intel Core,2.5,Intel HD
426,Lenovo,ThinkPad E480,14.0,1215.38,256,0,8,1920x1080,Intel Core,1.8,AMD Radeon
427,Lenovo,Yoga 720-15IKB,15.6,1899.0,512,0,16,3840x2160,Intel Core,2.8,Nvidia GeForce
429,HP,ProBook 650,15.6,1427.0,256,0,8,1920x1080,Intel Core,2.9,Intel HD
430,Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,15.6,597.0,0,1024.0,8,1920x1080,Intel Core,2.4,Nvidia GeForce
431,Dell,Alienware 17,17.3,2799.0,256,1024.0,16,2560x1440,Intel Core,2.9,Nvidia GeForce
432,Dell,Inspiron 7577,15.6,1159.0,128,1024.0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
433,Dell,Inspiron 5570,15.6,1142.4,256,2048.0,8,1920x1080,Intel Core,1.8,AMD Radeon
434,Dell,Latitude 5480,14.0,1099.0,256,0,8,1920x1080,Intel Core,2.8,Intel HD
435,HP,Omen 17-w207nv,17.3,1999.0,256,1024.0,12,1920x1080,Intel Core,2.8,Nvidia GeForce
436,Mediacom,FlexBook Edge,11.6,299.0,32,0,4,1920x1080,Intel Celeron,1.1,Intel HD
438,Lenovo,Thinkpad 13,13.3,1010.0,256,0,8,1920x1080,Intel Core,2.7,Intel HD
439,Lenovo,IdeaPad 320s-14IKB,14.0,599.0,128,0,4,1920x1080,Intel Core,2.7,Intel HD
440,Lenovo,Thinkpad T570,15.6,2445.0,512,0,16,3840x2160,Intel Core,2.8,Nvidia GeForce
441,Lenovo,Thinkpad P51,15.6,2449.0,512,0,16,1920x1080,Intel Core,2.9,Nvidia Quadro
442,Asus,Rog Strix,17.3,1695.0,256,1024.0,8,1920x1080,AMD Ryzen,3.2,AMD Radeon
443,HP,15-ra044nv (N3060/4GB/500GB/W10),15.6,347.0,0,500,4,1366x768,Intel Celeron,1.6,Intel HD
444,Google,Pixelbook (Core,12.3,2199.0,512,0,16,2400x1600,Intel Core,1.3,Intel HD
445,Lenovo,ThinkPad T470s,14.0,2382.0,512,0,24,2560x1440,Intel Core,2.7,Intel HD
446,Asus,VivoBook Max,15.6,559.0,256,0,4,1920x1080,Intel Core,2.5,Intel HD
447,Lenovo,IdeaPad 320-15AST,17.3,519.0,0,1024.0,8,1600x900,AMD A6-Series,2.5,AMD Radeon
448,Dell,Inspiron 5570,15.6,749.0,256,0,4,1920x1080,Intel Core,1.6,AMD Radeon
449,Lenovo,ThinkPad X270,12.5,1429.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
450,Lenovo,IdeaPad 320-15IAP,15.6,349.0,128,0,4,1920x1080,Intel Pentium,1.1,Intel HD
451,HP,Omen 15-AX205na,15.6,1099.0,128,1024.0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
452,Dell,Latitude 5480,14.0,1179.0,256,0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
453,Acer,Aspire ES1-572,15.6,441.8,0,500,4,1366x768,Intel Core,2.5,Intel HD
455,MSI,GV62 7RD-1686NL,15.6,1027.74,256,0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
456,Microsoft,Surface Laptop,13.5,2589.0,512,0,16,2256x1504,Intel Core,2.5,Intel Iris
457,HP,15-bs024nv (i5-7200U/8GB/128GB/W10),15.6,589.0,128,0,8,1366x768,Intel Core,2.5,Intel HD
458,Dell,Precision 3520,15.6,1975.0,256,0,16,1920x1080,Intel Core,2.7,Nvidia Quadro
459,HP,ProBook 650,15.6,1534.0,512,0,8,1920x1080,Intel Core,2.9,Intel HD
460,Lenovo,ThinkPad T470,14.0,1345.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
461,Dell,Inspiron 5570,15.6,979.0,128,1024.0,8,1920x1080,Intel Core,1.8,AMD Radeon
462,Dell,Inspiron 3168,11.6,479.0,0,500,4,1366x768,Intel Pentium,1.6,Intel HD
463,Dell,Alienware 17,17.3,2046.0,0,1024.0,8,1920x1080,Intel Core,2.7,Nvidia GeForce
464,Microsoft,Surface Laptop,13.5,989.0,128,0,4,2256x1504,Intel Core,2.2,Intel HD
465,Microsoft,Surface Laptop,13.5,1799.0,256,0,8,2256x1504,Intel Core,2.5,Intel Iris
466,HP,17-BS092ND (i3-6006U/8GB/256GB/W10),17.3,639.9,256,0,8,1600x900,Intel Core,2,Intel HD
467,Acer,Aspire E5-576G,15.6,544.0,0,1024.0,4,1920x1080,Intel Core,2,Nvidia GeForce
468,Acer,TravelMate B,11.6,435.0,128,0,4,1366x768,Intel Celeron,1.6,Intel HD
469,Asus,Pro P2540UA-AB51,15.6,749.0,0,1024.0,8,1920x1080,Intel Core,2.5,Intel HD
470,Lenovo,IdeaPad 510s-14IKB,14.0,799.0,512,0,8,1920x1080,Intel Core,2.7,AMD Radeon
471,Lenovo,Thinkpad P51,15.6,2090.0,256,0,8,1920x1080,Intel Core,2.9,Nvidia Quadro
472,Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),15.6,304.0,0,500,4,1366x768,Intel Pentium,1.1,Intel HD
473,Acer,Aspire 5,15.6,469.0,0,500,4,1366x768,Intel Core,2,Nvidia GeForce
474,Dell,Inspiron 5570,15.6,759.0,0,2048.0,8,1920x1080,Intel Core,1.6,AMD Radeon
475,HP,Omen 17-an006nv,17.3,1699.0,0,1024.0,12,1920x1080,Intel Core,2.8,Nvidia GeForce
476,Lenovo,Thinkpad T460s,14.0,1858.0,256,0,12,2560x1440,Intel Core,2.6,Intel HD
477,HP,Spectre x360,13.3,1999.0,512,0,8,3840x2160,Intel Core,1.8,Intel UHD
478,HP,ZBook 15u,15.6,1154.0,0,500,8,1920x1080,Intel Core,2.5,AMD FirePro
479,Google,Pixelbook (Core,12.3,1275.0,128,0,8,2400x1600,Intel Core,1.2,Intel HD
480,Dell,Latitude 7390,13.3,1841.85,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
481,Asus,ZenBook Pro,15.6,1299.0,128,1024.0,12,3840x2160,Intel Core,2.6,Intel HD
482,Dell,Latitude E5470,14.0,740.0,128,0,8,1366x768,Intel Core,2.3,Intel HD
483,Dell,Precision M5520,15.6,2408.0,256,0,8,1920x1080,Intel Core,2.8,Nvidia Quadro
484,Lenovo,Thinkpad T470,14.0,1364.0,180,0,8,1920x1080,Intel Core,2.5,Intel HD
485,Dell,Inspiron 3576,15.6,675.0,0,1024.0,8,1920x1080,Intel Core,1.6,AMD Radeon
486,Toshiba,Portege X30-D-10J,13.3,1672.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
487,Dell,Inspiron 7570,15.6,1262.0,512,0,8,1920x1080,Intel Core,1.8,Nvidia GeForce
488,Dell,Vostro 3568,15.6,586.6,0,1024.0,4,1366x768,Intel Core,2.4,Intel HD
489,HP,ProBook 430,13.3,726.0,128,0,4,1920x1080,Intel Core,1.6,Intel UHD
491,Lenovo,ThinkPad E570,15.6,565.0,128,0,4,1366x768,Intel Core,2.0,Intel HD
492,Lenovo,ThinkPad E480,14.0,1049.0,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
493,Dell,Precision 3520,15.6,2338.0,512,0,16,1920x1080,Intel Core,2.7,Nvidia Quadro
494,Dell,XPS 15,15.6,1899.0,512,0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
495,Lenovo,Thinkpad X270,12.5,1798.0,512,0,16,1920x1080,Intel Core,2.7,Intel HD
496,Asus,Zenbook UX390UA,12.5,1950.0,512,0,16,1920x1080,Intel Core,2.7,Intel HD
497,Lenovo,Thinkpad E570,15.6,1011.99,256,0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
498,Toshiba,Portege X30-D-10L,13.3,2799.0,512,0,32,1920x1080,Intel Core,2.7,Intel HD
499,Asus,VivoBook Pro,15.6,1350.0,128,1024.0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
500,Acer,Aspire 5,15.6,579.0,0,1024.0,8,1366x768,AMD A10-Series,2.5,AMD Radeon
501,Asus,Rog G752VL-UH71T,17.3,1269.0,256,1024.0,24,1920x1080,Intel Core,2.6,Nvidia GeForce
502,Lenovo,Thinkpad X260,12.5,1099.0,180,0,8,1366x768,Intel Core,2.3,Intel HD
503,Lenovo,Ideapad 520-15IKBR,15.6,898.9,256,0,8,1920x1080,Intel Core,1.8,Intel UHD
504,HP,EliteBook 840,14.0,1749.0,1024.0,0,8,1920x1080,Intel Core,2.8,Intel HD
505,Lenovo,ThinkPad 13,13.3,949.0,256,0,8,1920x1080,Intel Core,2.4,Intel HD
506,Lenovo,ThinkPad L570,15.6,911.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
508,HP,15-BS026nv (i5-7200U/8GB/256GB/Radeon,15.6,618.99,256,0,8,1366x768,Intel Core,2.5,AMD Radeon
509,Lenovo,Yoga 920-13IKB,13.9,1599.0,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
510,Lenovo,IdeaPad 320-14IAP,14.0,299.0,0,500,4,1366x768,Intel Celeron,1.1,Intel HD
511,Lenovo,Chromebook N23,11.6,265.0,16,0,4,1366x768,Intel Celeron,1.6,Intel HD
512,Lenovo,ThinkPad 13,13.3,949.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
